image,formula
val_000000.png,"E ( v ) = \frac { d } { d t } E ( q ) \; \; \; \; \; \; \; \forall t \, ."
val_000001.png,{ \frac { 1 } { L ^ { 2 } } } \prod _ { i = 1 } ^ { 3 } ( r _ { + } ^ { 2 } + q _ { i } ) - \mu r _ { + } ^ { 2 } \sim 0 \ .
val_000002.png,"x ^ { I } ( \sigma + 2 \pi , \tau ) = x ^ { I } ( \sigma , \tau ) + 2 \pi L ^ { I } ."
val_000003.png,\xi _ { \sigma } ( \sigma ) = 1 - \frac { \pi e ^ { \sigma } } { 3 } + 8 \pi e ^ { \sigma } \sum _ { n = 1 } ^ { \infty } \frac { n e ^ { - 2 n \pi e ^ { \sigma } } } { 1 - e ^ { - 2 n \pi e ^ { \sigma } } }
val_000004.png,m _ { 0 } ^ { 2 } \varphi + { \frac { \mu ^ { 2 } - m _ { 0 } ^ { 2 } } { \beta } } \operatorname { t a n } ( \beta \varphi ) = 0
val_000005.png,"{ \frac { d z } { d r } } = e ^ { 2 A } , \hspace { 1 c m } \psi \rightarrow e ^ { - 3 A / 2 } \psi"
val_000006.png,"F _ { A _ { 1 } } \left( q ^ { a _ { 1 } } , \dot { q } ^ { a _ { 1 } } \right) = 0 \, , \; F _ { A _ { 0 } } \left( q ^ { a _ { 1 } } \right) = 0 \, ."
val_000007.png,1 - \frac { \delta \phi } { 2 \pi } = L ^ { \prime } ( \infty ) = \frac { 2 G W + 1 } { N ^ { 2 } ( \infty ) } .
val_000008.png,"\varphi ^ { \prime \prime } + { \frac { 1 } { r } } \varphi ^ { \prime } + \lambda \left( \varphi - \varphi ^ { 3 } \right) = 0 ,"
val_000009.png,{ e _ { \hat { \mu } } ^ { \ \hat { m } } = \left( \begin{array} { l l } { e _ { \sigma } ^ { \ s } } & { 0 } \\ { 0 } & { e _ { \alpha } ^ { \ a } } \\ \end{array} \right) }
val_000010.png,\phi = \left( \begin{array} { c } { 0 } \\ { \phi _ { 0 } } \\ \end{array} \right)
val_000011.png,"\mathrm { T r } ( { \bf M } _ { + } { \bf M } _ { - } ) = 0 \ ,"
val_000012.png,\int _ { { \cal C } _ { i } } B _ { 2 } = 4 \pi ^ { 2 } \alpha ^ { \prime } \frac { 1 } { 2 } \equiv b _ { 0 }
val_000013.png,"\alpha ^ { 2 } = { \frac { Q _ { c } ^ { 2 } } { a } } ,"
val_000014.png,"\sum _ { j = 1 } ^ { r + 1 } \bar { x } _ { j } ^ { 2 } = { \frac { r ( r + 1 ) } { 2 } } ,"
val_000015.png,"\left( \alpha ^ { \prime } \right) ^ { - 1 } e ^ { - \phi / 2 } f _ { 1 6 } \, s i m \ g ^ { - 2 4 } \sqrt { N } \ ,"
val_000016.png,( R _ { a b } R ^ { a b } - \frac { n } { 4 ( n - 1 ) } R ^ { 2 } ) \phi ^ { \frac { 2 ( n - 4 ) } { n - 2 } }
val_000017.png,j _ { 1 } ^ { k } = \omega _ { 1 } ^ { k - 2 } \subseteq \omega _ { 1 } ^ { k }
val_000018.png,"a ( \xi ) = \frac { \xi ^ { - 1 } - \xi } { q ^ { - 1 } \xi ^ { - 1 } - q \xi } \, , \quad b ( \xi ) = \frac { q ^ { - 1 } - q } { q ^ { - 1 } \xi ^ { - 1 } - q \xi } \, ."
val_000019.png,x ^ { \pm } = \frac { \left( x ^ { 0 } \pm x ^ { 1 } \right) } { \sqrt { 2 } }
val_000020.png,"g _ { i j } = \bar { g } _ { i j } + h _ { i j } ,"
val_000021.png,"U ( \vec { x } ; A , B ) = A U _ { \mathrm { S } } ( D ( B ) ^ { - 1 } \cdot \vec { x } ) A ^ { \dagger }"
val_000022.png,{ \frac { \partial \bar { g } _ { \mu \nu } } { \partial l _ { i } } } \in \mathrm { K e r } ( \bar { F } ^ { \dagger } )
val_000023.png,"L _ { a } = \frac { 1 } { 1 6 \pi } \mathrm { I m } \int d ^ { 2 } \theta \, W ^ { 2 } \tau ( z ^ { - 1 / 4 } )"
val_000024.png,"S [ \phi ^ { \dagger } , \phi ] \; = \; \int d ^ { 3 } x \, { \cal L } ( \phi ^ { \dagger } , \phi ; \partial \phi ^ { \dagger } , \partial \phi ) \; \; ,"
val_000025.png,\partial _ { \mu } = \frac { \partial } { \partial \xi ^ { \mu } }
val_000026.png,"( \partial _ { \gamma } , \partial _ { \gamma } ) _ { ( 1 0 ) } = \sqrt { \tilde { \Delta } } e ^ { 2 U }"
val_000027.png,"\int _ { - \infty } ^ { \infty } P _ { r } ^ { \bf V } ( x ) P _ { s } ^ { \bf V } ( x ) \, e ^ { - x ^ { 2 } } \, d x \, \propto \delta _ { r \, s } ."
val_000028.png,\Phi ^ { i } = \frac { 1 } { 2 } \pi ^ { i } - \int d u \; \; \epsilon ( x - u ) \; \theta ^ { i } ( u )
val_000029.png,"Q = ( b + 1 / b ) \rho , \qquad \rho = \frac 1 2 \sum _ { \alpha > 0 } \alpha ,"
val_000030.png,V _ { \mathrm { e f f } } = \operatorname* { l i m } _ { \lambda \rightarrow 0 } \left( V ^ { g e n } + V ^ { P T } \right) .
val_000031.png,"{ \theta _ { n } ^ { \alpha \Lambda } } { ^ \dagger } = \theta _ { - n } ^ { \alpha \Lambda } ,"
val_000032.png,"{ \cal S } ^ { \mu \nu } \equiv \epsilon ^ { \mu \nu \rho \sigma } \theta _ { \rho } P _ { \sigma } = 0 \ \ ,"
val_000033.png,M _ { P } ^ { 2 } = M _ { s } ^ { 3 } \int d z e ^ { - 2 \sigma ( z ) }
val_000034.png,"t _ { 1 } = T ~ ~ , \hspace { 2 c m } t _ { 2 } = - \frac { S } { 2 \pi i } ,"
val_000035.png,B _ { p } ( \beta ) = \operatorname { d i m } \{ \operatorname { k e r } \Delta _ { \beta } \cap \Lambda ^ { p } \} .
val_000036.png,"\hat { g } = - ( d x ^ { 0 } ) ^ { 2 } + ( d x ^ { 1 } ) ^ { 2 } + \Big ( d r ^ { 2 } + r ^ { 2 } d \Omega _ { 8 } ^ { 2 } \Big ) \; ,"
val_000037.png,"\operatorname* { l i m } _ { t \rightarrow - \infty } ( f ( x ) , \phi ( x - t ) ) = L _ { 0 } ^ { - 1 } [ f ] \int _ { - \infty } ^ { \infty } \phi ( x ) d x"
val_000038.png,I ( a ) = \kappa \int _ { 0 } ^ { 2 a } { \frac { u ^ { 3 } } { 2 } } g _ { 2 } ( u )
val_000039.png,m _ { C } ^ { 2 } = \langle g ^ { 2 } A _ { \mu } ^ { a } A _ { \mu } ^ { a } \rangle + \left( { \frac { 1 } { 2 } } \alpha + \beta \right) \langle i g ^ { 2 } \bar { C } ^ { a } C ^ { a } \rangle .
val_000040.png,"r a n k ( b ( x ; \xi ) \ q ( x ; \xi ) ) = r a n k ( q ( x ; \xi ) ) = r \ ,"
val_000041.png,V = i \left[ \begin{array} { c c } { B } & { 2 \overline { { A } } } \\ { - 2 A } & { - B } \\ \end{array} \right]
val_000042.png,\epsilon _ { \mathrm { v a c } } = \left< \frac { \beta ( g ) } { 8 g } G \cdot G \right>
val_000043.png,\tau _ { j } = 1 - y \operatorname { e x p } ( i ( \mu _ { a } ( 2 j ) - \varepsilon ) ) .
val_000044.png,\alpha = \sum _ { a = 1 } ^ { J } \alpha ( a ; \infty ) .
val_000045.png,"J ( x , y , M ) = \mathrm { t r } \left\langle x \left| \Gamma _ { 5 } \Gamma \frac { 1 } { \Theta + M } \right| y \right\rangle ."
val_000046.png,\chi _ { h } ^ { N S } ( q ) = \sum S _ { h } ^ { h ^ { \prime } } \chi _ { h ^ { \prime } } ^ { N S } ( \tilde { q } )
val_000047.png,\mathrm { S p D } _ { 5 6 } \left( E ^ { { \vec { \alpha } } _ { 5 } } \right) = \left( \begin{array} { l l } { { \bf 0 } } & { B [ { { \vec { \alpha } } _ { 5 } } ] } \\ { C [ { { \vec { \alpha } } _ { 5 } } ] } & { { \bf 0 } } \\ \end{array} \right)
val_000048.png,"r = \rho \; , \; \; f = 1 - \frac { \rho _ { 0 } } { \rho } - \frac { \Lambda } { 6 } \rho ^ { 2 } \; ."
val_000049.png,"{ \cal U } ^ { \prime \prime } + { \frac { 2 } { r } } { \cal U } ^ { \prime } - \left( { \cal U } ^ { \prime } \right) ^ { 2 } = { \frac { 1 } { 4 } } \, \left( h _ { 1 } ^ { \prime } \right) ^ { 2 } + { \frac { 1 } { 4 } } \left( h _ { 2 } ^ { \prime } \right) ^ { 2 } ,"
val_000050.png,\mathbf { \nabla \cdot } { \mathbf { K } } ^ { C } = 4 \pi { \mathbf { J } } ^ { C } \qquad \mathbf { \nabla \cdot } \; ^ { * } { \mathbf { K } } ^ { C } = 0
val_000051.png,S \left( \hat { A } + \delta A \right) = S \left( \hat { A } \right)
val_000052.png,"p _ { 1 } ^ { \mu } \, = \, m \, \frac { q _ { 2 } ^ { \mu } } { \sqrt { q _ { 2 } ^ { 2 } } } \, - \, ( p _ { 1 } b ) \, b ^ { \mu } ."
val_000053.png,"\delta _ { \epsilon } \Psi = \epsilon \star \Psi - \Psi \star \epsilon \, \, ."
val_000054.png,"\left[ a , b , c \right] = a b c + b c a + c a b - c b a - a c b - b a c ,"
val_000055.png,"Z _ { R } ^ { ( m , n ) } = \frac { 1 } { 4 } \sum _ { e } C _ { e } ( m , n ) \frac { \theta ^ { 4 } [ e ] } { \eta ^ { 1 2 } } \Theta _ { ( m , n ) } ( 0 | \tau ) ;"
val_000056.png,"{ d s } ^ { 2 } = - V ( U ) { d t } ^ { 2 } + \frac { { d U } ^ { 2 } } { V ( U ) } + \frac { U ^ { 2 } } { R ^ { 2 } } \sum _ { i = 1 } ^ { n - 1 } { d x } _ { i } ^ { 2 } ,"
val_000057.png,"{ \cal L } _ { 0 } = - \frac { 1 } { 4 } F _ { \mu \nu } F ^ { \mu \nu } + \frac { 1 } { 2 } m ^ { 2 } A _ { \mu } A ^ { \mu } ,"
val_000058.png,"F _ { \mu \nu } = 2 u _ { \mu ; \nu } ~ ~ , ~ ~ h _ { \mu } ^ { \lambda } F _ { \lambda \nu } = F _ { \mu \nu } ~ ~ ,"
val_000059.png,"\epsilon ( g = 0 ) = H ^ { - 1 / 8 } e ^ { - { \frac { 1 } { 2 } } \gamma _ { \overline { { \theta r } } } } e ^ { - { \frac { 1 } { 2 } } \gamma _ { \overline { { \phi \theta } } } } ( 1 - \eta \gamma _ { \overline { { 0 } } } \epsilon ^ { i j } ) \epsilon _ { 0 } ,"
val_000060.png,{ \cal { L } } = - \bar { \psi } ~ \gamma _ { \mu } \partial ^ { \mu } \psi - m ~ \bar { \psi } W \psi + \mathrm { m e s o n ~ ~ t e r m s }
val_000061.png,"\Psi _ { 2 } ( \lambda _ { 1 } , \lambda _ { 2 } ) = B _ { 1 } ( \lambda _ { 1 } ) B _ { 1 } ( \lambda _ { 2 } ) \left| 0 \right\rangle - \frac { 1 } { y ( \lambda _ { 1 } - \lambda _ { 2 } ) }"
val_000062.png,{ \partial _ { \lambda } } F _ { \mu \nu } + { \partial _ { \mu } } F _ { \nu \lambda } + { \partial _ { \nu } } F _ { \lambda \mu } = 0 .
val_000063.png,\alpha = - { \frac { 1 } { 8 ( 3 + 8 \operatorname { l n } 2 ) \pi ^ { 2 } } } .
val_000064.png,"\tilde { W } _ { e f f } = - \frac { \mathrm { P f } \tilde { \Phi } } { \tilde { \Lambda } _ { L } ^ { 2 \tilde { N } _ { c } + 1 } } + \frac { 1 } { 2 \mu } \Phi \tilde { \Phi } ,"
val_000065.png,"{ \cal F } = Q { \cal A } + { \cal A } ^ { 2 } = 0 ,"
val_000066.png,\tilde { \psi } _ { 0 } ( z ) = z ^ { - \frac N 4 } \varphi _ { 0 } ( z )
val_000067.png,"{ \cal L } _ { e f f } = - i \int \! \! { \frac { d ^ { 4 } p } { ( 2 \pi ) ^ { 4 } } } t r _ { \gamma } \, l n \, G ^ { - 1 } ( p + i \partial , x ) ,"
val_000068.png,"\hat { H } \equiv \sum _ { \alpha = 1 } ^ { N + 1 } c _ { \alpha } a _ { \alpha } ^ { \dagger } a _ { \alpha } \ ,"
val_000069.png,\xi ^ { 1 * } \left( x \right) = \xi ^ { 6 * } \left( x \right) = 0
val_000070.png,4 ( 2 p ^ { 2 } - p \frac { d p } { d \phi } ) - ( T ^ { 2 } + 2 \lambda ^ { 2 } ) e ^ { 2 \xi } = 0
val_000071.png,"\{ \psi _ { i j } ( x ^ { - } ) , \psi _ { k l } ( y ^ { - } ) \} = \frac { 1 } { 2 } \delta ( x ^ { - } - y ^ { - } )"
val_000072.png,"\int _ { k 5 } = \int { \frac { d ^ { 4 } k } { ( 2 \pi ) ^ { 4 } } } { \frac { 1 } { 2 \ell } } \sum _ { k ^ { 5 } } \ ,"
val_000073.png,\Delta = - D ^ { 2 } - \frac { \mathrm { i } } 2 \sigma _ { \mu \nu } F _ { \mu \nu } .
val_000074.png,"T _ { i } = \{ \delta , \sigma ^ { 4 } = ( \sigma ^ { 1 } \sigma ^ { 2 } \sigma ^ { 3 } ) , { \vec { \sigma } } , \sigma ^ { 4 } { \vec { \sigma } } \} \ ."
val_000075.png,"E _ { \pm n } = \pm \sqrt { m ^ { 2 } + 2 | e B | ( n + { \scriptstyle \frac { 1 } { 2 } } ) - 2 e B S _ { \pm } } ,"
val_000076.png,"d s ^ { 2 } \, = \, a ^ { 2 } ( \eta ) \bigl [ ( 1 + 2 \Phi ) d \eta ^ { 2 } - ( 1 - 2 \Phi ) d x ^ { i } d x _ { i } \bigr ] \, ,"
val_000077.png,"m \simeq a ~ \sqrt { | e H | } ~ \mathrm { e } ^ { - b \sqrt { \frac { \pi } { \alpha } - c } } ,"
val_000078.png,"\sigma ( x , u ) \sigma ( x , - u ) = \frac { \operatorname { c o s } ^ { 2 } x } { \operatorname { c o s } ( x + \lambda u ) \operatorname { c o s } ( x - \lambda u ) }"
val_000079.png,\beta _ { \mathrm { S G } } = 2 g _ { \mathrm { e f f } } .
val_000080.png,{ \frac { M ^ { \prime } } { 4 \pi \kappa \lambda } } = - \left( q ^ { a } + { \frac { \eta ^ { a } } { \lambda } } \right) \epsilon _ { a } ^ { ~ ~ b } p _ { b } ~ .
val_000081.png,- \frac { 1 } { 8 z _ { 0 } ^ { 2 } } + V ^ { \prime } ( z _ { 0 } ) = 0 .
val_000082.png,{ \mathcal L } = - \frac { 1 } { 2 } F \wedge ^ { * } F + \frac { 1 } { 2 } | D \phi | ^ { 2 } - U ( \phi )
val_000083.png,"\delta _ { _ \ominus } \overline { Q } \sim \widehat Q { \frac { M w } { 4 c ^ { 2 } \mu ^ { 2 } } } \, \operatorname { l n } \big \{ { \frac { w _ { \! _ { \odot } } } { w } } \} \ ."
val_000084.png,"g _ { a \bar { b } } = \partial _ { a } \, \partial _ { \bar { b } } \, K ( z , \bar { z } ) \ ."
val_000085.png,P _ { 0 } [ A ] = \left\Vert e ^ { i \Gamma [ A ] } \right\Vert ^ { 2 } \; .
val_000086.png,"{ \cal N } = e ^ { \lambda T } { \cal N } _ { 0 } \equiv { \cal S } { \cal N } _ { 0 } ,"
val_000087.png,\int { \cal D } X ^ { \mu } ( \lambda ) \equiv \int d \xi _ { n } ^ { \mu } \sqrt { g ( \xi ) } .
